TIPO,BARRIO
Comuna:,Las Margaritas
Comuna:,Los Frailejones
Comuna:,Los Héroes
Comuna:,Los Laureles
Comuna:,Los Urapanes
Comuna:,Mariluz I
Comuna:,Mariluz II
Comuna:,Mariluz III
Comuna:,Mirador de San Juan
Comuna:,Miravalle
Comuna:,Montemor
Comuna:,Panamericano
Comuna:,Panamericano II
Comuna:,Panamericano I
Comuna:,Portal de la Colina
Comuna:,Prados del Oeste
Comuna:,Quintas de San Pedro
Comuna:,Remansos del Norte
Comuna:,Salazar Mejía
Comuna:,San Diego
Comuna:,San Juan de Anganoy
Comuna:,San Juan de Dios I
Comuna:,San Juan de Dios II
Comuna:,San Pedro
Comuna:,San Vicente
Comuna:,Sindamanoy
Comuna:,Torres de Pubenza
Comuna:,Veracruz
Comuna:,Villa Jardín
Comuna:,Villas de San Rafael
Comuna:,Alto Juanoy
Comuna:,Avenida Los Estudiantes
Comuna:,Briceño
Comuna:,Calatrava
Comuna:,Camino Real
Comuna:,Castilla
Comuna:,Chapultepec
Comuna:,Colonial
Comuna:,Colonial
Comuna:,Colonial
Comuna:,Condominio Morasurco
Comuna:,Conjunto Torobajo
Comuna:,El Aljibe
Comuna:,El Cerámico
Comuna:,El Dorado
Comuna:,El Mirador
Comuna:,El Polvorín
Comuna:,El Refugio
Comuna:,Figueroa
Comuna:,José Ignacio Zarama
Comuna:,Juan XXIII
Comuna:,Juanoy
Comuna:,La Colina
Comuna:,La Riviera
Comuna:,Las Cuadras
Comuna:,La Victoria
Comuna:,Los Nogales
Comuna:,Los Sauces
Comuna:,Luis Brand
Comuna:,Manaca
Comuna:,Maridiaz
Comuna:,Marsella
Comuna:,Morasurco
Comuna:,Nuevo Amanecer
Comuna:,Palermo
Comuna:,Pandiaco
Comuna:,Parana
Comuna:,Parque Infantil
Comuna:,Pinos Del Norte
Comuna:,Portal De La Colina
Comuna:,Riviera
Comuna:,San Antonio De Juanoy
Comuna:,Santa Ana
Comuna:,Santa Rita
Comuna:,Sañudo
Comuna:,Tequendama
Comuna:,Terranova
Comuna:,Terrazas De Briceño
Comuna:,Titán
Comuna:,Torobajo
Comuna:,Universitario
Comuna:,Uranización Zarama
Comuna:,Valle De Atriz
Comuna:,Versalles
Comuna:,Villa María
Comuna:,Villa Campestre
Comuna:,Aranda
Comuna:,Avenida Aranda
Comuna:,Avenida Oriental
Comuna:,Avenida Oriental Rio Pasto
Comuna:,Buenos Aires
Comuna:,Cementerio
Comuna:,Condominio Bellavista
Comuna:,Corazón De Jesús  II
Comuna:,Cra 27 A Del Barrio Centenario
Comuna:,Destechados
Comuna:,El Futuro
Comuna:,El Portal De Aranda
Comuna:,El Portal Del Norte
Comuna:,El Rincón De Pasto
Comuna:,El Rincón Del Rosario
Comuna:,Juan Pablo  II
Comuna:,La Esperanza
Comuna:,La Floresta
Comuna:,Libertad
Comuna:,Loma Del Carmen (Marquetalia)
Comuna:,Marquetalia
Comuna:,Niño Jesús De Praga
Comuna:,Nueva Aranda
Comuna:,Nuevo Horizonte
Comuna:,Nuevo Sol
Comuna:,Ocho De Marzo
