resultados,indicadores,cursos
de 30 dias para la entrega de resultados de biopsia,ADULTEZ Y VEJEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Oportunidad  en  la  confirmacion diagnostica del cÿncer de mama,JUVENTUD -ADULTEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de hombres mayores de 50 a¤os con tamizaje de oportunidad para cÿncer de prostata (Antigenos Sanguineos Prostÿticos (PSA) y tacto rectal combinado),ADULTEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de hombres con pruebas,
de tamizaje anormal a quienes se les realizo biopsia de prostata,ADULTEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Oportunidad para la confirmacion diagnostica de cÿncer de prostata,ADULTEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de hombres menores de 50 a¤os con factores de riesgo que,
fueron tamizados con tacto rectal y PSA,ADULTEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas entre 50 y 75 a¤os tamizadas para cÿncer de colon y recto (sangre oculta en materia fecal con inmunoquimica segun lo definido en el esquema),ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas mayores de 50 a¤os con test de sangre oculta en materia fecal positivos a los que se,
les realizo colonoscopia,ADULTEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas entre 50 y 75 a¤os a quienes se realiza colonoscopia de tamizacion para cÿncer de colon y recto en los ultimos,
diez a¤os,ADULTEZ Y VEJEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Oportunidad para la confirmacion diagnostica de cÿncer de colon y recto,ADULTEZ Y VEJEZ
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas con tamizaje para riesgo cardiovascular y metabolico,JUVENTUD ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas clasificadas,
segun riesgo cardiovascular y metabolico,JUVENTUD ADULTEZ Y VEJEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas con resultado positivo en prueba de tamizacion para sifilis,ADOLESCENCIA JUVENTUD  ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas con resultado reactivo en prueba de tamizacion para Hepatitis B,1 VEZ EN CURSO DE VIDA 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas con resultado,
reactivo en prueba de tamizacion para Hepatitis C,1 VEZ EN CURSO DE VIDA ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas con resultado reactivo en prueba de tamizacion para VIH,ADOLESCENCIA JUVENTUD  ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas cuidadoras con sobrecarga,SOLO AL CUIDADOR 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas de 40 o mÿs a¤os con factores de riesgo para,
EPOC que fueron tamizados,ADULTEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas de 40 o mÿs a¤os con factores de riesgo para,
EPOC tamizados con resultado positivo para sospecha de EPOC,ADULTEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de trabajadores informales abordados desde el PIC con deteccion de riesgos para la salud relacionados con la actividad,
ocupacional,INFANCIA -ADOLESCENCIA ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de personas identificadas,
con sospecha de violencia fisica psicologica o sexual,TODOS CURSOS DE VIDA ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Personas con identificacion de riesgos canalizadas a servicios sociales o sanitarios desde el PIC,TODOS CURSOS DE VIDA 
