resultados,indicadores,cursos
Reci‚n nacidos que reciben una atencion neonatal segura,Proporcion de reci‚n nacidos sanos que tienen contacto piel a piel con la madre,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Cobertura de vacunacion con BCG en nacidos vivos,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Cobertura de tamizaje para cardiopatia cong‚nita,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Cobertura y tamizaje auditivo en el neonato,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Oportunidad de referencia en casos de enfermedad neonatal,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Proporcion de reci‚n nacidos con atencion para el seguimiento entre 3 y 5 dias,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Proporcion de reci‚n nacidos que egresan con diligenciamiento de la historia clinica perinatal y con carn‚ de salud infantil,GESTANTE
,,
Reci‚n nacidos que reciben una atencion neonatal segura,Proporcion de reci‚n nacidos que reciben valoracion pre alta hospitalaria,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad,Proporcion de reci‚n nacidos con alteraciones del metabolismo que son remitidos,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad,Proporcion de reci‚n nacidos con alteraciones del tamizaje auditivo remitidos,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad,Proporcion de reci‚n nacidos con alteraciones del tamizaje para cardiopatia cong‚nita remitidos,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad,Proporcion de reci‚n nacidos con alteraciones del tamizaje visual remitidos,GESTANTE
Gestantes que desarrollan la capacidad de agencia para el cuidado de la salud y del reci‚n nacido,Proporcion de gestantes que conocen los signos de alarma que se presentan durante la gestacion y puerperio,GESTANTE
,,
Gestantes que desarrollan la capacidad de agencia para el cuidado de la salud y del reci‚n nacido,Porcentaje de personas en el entorno comunitario intervenido en el PIC con prÿcticas que promueven la salud materno perinatal,GESTANTE
Gestantes que desarrollan la capacidad de agencia para el cuidado de la salud y del reci‚n nacido,Organizaciones de base comunitaria redes comunitarias comunidades u otras formas organizativas en salud que implementan acciones comunitarias para la promocion de la salud materno perinatal,GESTANTE
,,
Mujeres y sus familias que desarrollan capacidades para el cuidado de la salud materno perinatal,Porcentaje de mujeres que informan haber puesto el ni¤o al seno en la primera hora de nacido,GESTANTE
Mujeres y sus familias que desarrollan capacidades para el cuidado de la salud materno perinatal,Proporcion de mujeres con capacidades para identificar signos de alarma o complicaciones en el estado de salud de sus hijos/as en el periodo neonatal,GESTANTE
,,
Personas que se desarrollan adecuadamente desde el punto de vista fisico-motor socio-emocional y cognitivo,Proporcion de ni¤as y ni¤os en primera infancia con desarrollo esperado o normal para la edad,PRIMERA INFANCIA 
Ni¤as y ni¤os alimentados exclusivamente con lactancia materna hasta los 6 meses,Proporcion de menores de 6 meses con lactancia materna exclusiva,PRIMERA INFANCIA 
Personas adultas mayores que conservan las habilidades cognitivas,Proporcion de adultos mayores que conservan sus habilidades cognitivas,VEJEZ 
Personas adultas mayores que conservan la independencia funcional,Proporcion de adultos mayores que conservan su autonomia,VEJEZ 
Personas adultas mayores que conservan la independencia funcional,Proporcion de adultos mayores que conservan su independencia funcional,VEJEZ 
Personas con adecuado estado nutricional de acuerdo a su edad,Prevalencia de anemia en personas de 6 a 59 meses,INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de personas cuidadoras con conocimientos actitudes y prÿcticas que promueven un adecuado estado nutricional en ni¤os y ni¤as,ADOLESCENCIA -JUVENTUD-ADULTEZ Y VEJEZ 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de personas con conocimientos actitudes y prÿcticas para promover un adecuado estado nutricional y prevenir las enfermedades relacionadas con el regimen alimentario,JUVENTUD-ADULTEZ Y VEJEZ 
,,
Personas con adecuado estado nutricional de acuerdo a su edad,Prevalencia de desnutricion aguda en menores de 5 a¤os,PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Prevalencia de desnutricion cronica en menores de 5 a¤os,PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de menores de 5 a¤os con peso adecuado para la talla (Fuente RIPS),PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de menores de 5 a¤os con talla adecuada para la edad (Fuente RIPS),PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de personas de 5 a¤os y mÿs con IMC adecuado para la edad,PRIMERA INFANCIA 
Personas sin problemas y trastornos mentales,Proporcion de casos nuevos de trastornos de ansiedad,ADOLESCENCIA -JUVENTUD-ADULTEZ Y VEJEZ 
Personas sin problemas y trastornos mentales,Proporcion de casos nuevos de trastornos depresivos,ADOLESCENCIA -JUVENTUD-ADULTEZ Y VEJEZ 
Personas sin morbilidad evitable,Incidencia de meningitis tuberculosa,PRIMERA INFANCIA 
